Tipo;Data_Inicio;Hora_Inicio;Data_Termino;Hora_Termino;Sistema_Operacional;Tempo(ns);Tempo(ms);Gasto_Memoria(bytes);Linhas_Lidas;Algoritmo;Interacoes;Troca_ou_Colisao
Semente 3;07/10/2018;21:04:38;07/10/2018;21:04:38;Windows 10;415661;0;1156898352;1000;Duplo Hash;1137;0
Semente 3;07/10/2018;21:04:38;07/10/2018;21:04:38;Windows 10;469310;0;1161599384;1000;Encadeamento Separado;1137;568
Semente 3;07/10/2018;21:04:38;07/10/2018;21:04:38;Windows 10;496834;0;1161599384;1000;Encadeamento Coalescido;47871;46480
Semente 3;07/10/2018;21:04:45;07/10/2018;21:04:45;Windows 10;1285704;0;1205391112;5000;Sondagem Linear;73794;71865
Semente 3;07/10/2018;21:04:45;07/10/2018;21:04:45;Windows 10;727757;0;1205391112;5000;Sondagem Quadratica;10912;8983
Semente 3;07/10/2018;21:04:45;07/10/2018;21:04:45;Windows 10;978273;0;1205391112;5000;Duplo Hash;1929;0
Semente 3;07/10/2018;21:04:45;07/10/2018;21:04:45;Windows 10;987138;0;1205391112;5000;Encadeamento Separado;1929;964
Semente 3;07/10/2018;21:04:45;07/10/2018;21:04:45;Windows 10;1097234;0;1205391112;5000;Encadeamento Coalescido;117004;114726
Semente 3;07/10/2018;21:04:53;07/10/2018;21:04:53;Windows 10;1551149;0;1265259152;10000;Sondagem Linear;118868;116771
Semente 3;07/10/2018;21:04:53;07/10/2018;21:04:53;Windows 10;867244;0;1265259152;10000;Sondagem Quadratica;10029;7932
Semente 3;07/10/2018;21:04:53;07/10/2018;21:04:53;Windows 10;1198001;0;1265259152;10000;Duplo Hash;2097;0
Semente 3;07/10/2018;21:04:53;07/10/2018;21:04:53;Windows 10;1167678;0;1265259152;10000;Encadeamento Separado;2097;1048
Semente 3;07/10/2018;21:04:53;07/10/2018;21:04:53;Windows 10;1511029;0;1265259152;10000;Encadeamento Coalescido;225357;222787
Semente 3;07/10/2018;21:05:02;07/10/2018;21:05:02;Windows 10;2075974;2;1624439976;50000;Sondagem Linear;141859;139602
Semente 3;07/10/2018;21:05:02;07/10/2018;21:05:02;Windows 10;1483505;2;1624439976;50000;Sondagem Quadratica;60856;58599
Semente 3;07/10/2018;21:05:02;07/10/2018;21:05:02;Windows 10;1362212;0;1624439976;50000;Duplo Hash;2257;0
Semente 3;07/10/2018;21:05:03;07/10/2018;21:05:03;Windows 10;1504964;0;1624439976;50000;Encadeamento Separado;2257;1128
Semente 3;07/10/2018;21:05:03;07/10/2018;21:05:03;Windows 10;1882838;0;1624439976;50000;Encadeamento Coalescido;218813;216079
Semente 3;07/10/2018;21:05:13;07/10/2018;21:05:13;Windows 10;1967277;16;1593796952;100000;Sondagem Linear;142329;140022
Semente 3;07/10/2018;21:05:13;07/10/2018;21:05:13;Windows 10;964745;0;1593796952;100000;Sondagem Quadratica;9921;7614
Semente 3;07/10/2018;21:05:13;07/10/2018;21:05:13;Windows 10;1560946;15;1593796952;100000;Duplo Hash;2307;0
Semente 3;07/10/2018;21:05:13;07/10/2018;21:05:13;Windows 10;1432189;0;1593796952;100000;Encadeamento Separado;2307;1153
Semente 3;07/10/2018;21:05:13;07/10/2018;21:05:13;Windows 10;1859047;0;1593796952;100000;Encadeamento Coalescido;239723;236925
Semente 3;07/10/2018;21:05:25;07/10/2018;21:05:25;Windows 10;2026991;0;1663811096;500000;Sondagem Linear;149099;146750
Semente 3;07/10/2018;21:05:25;07/10/2018;21:05:25;Windows 10;1103299;0;1663811096;500000;Sondagem Quadratica;10696;8347
Semente 3;07/10/2018;21:05:25;07/10/2018;21:05:25;Windows 10;1473708;0;1663811096;500000;Duplo Hash;2349;0
Semente 3;07/10/2018;21:05:25;07/10/2018;21:05:25;Windows 10;1534354;0;1663811096;500000;Encadeamento Separado;2349;1174
Semente 3;07/10/2018;21:05:25;07/10/2018;21:05:25;Windows 10;2139886;16;1663811096;500000;Encadeamento Coalescido;254355;251492
Semente 3;07/10/2018;21:05:38;07/10/2018;21:05:38;Windows 10;2034455;0;1559516016;1000000;Sondagem Linear;147277;144914
Semente 3;07/10/2018;21:05:38;07/10/2018;21:05:38;Windows 10;1141553;0;1559516016;1000000;Sondagem Quadratica;10145;7782
Semente 3;07/10/2018;21:05:39;07/10/2018;21:05:39;Windows 10;1540419;0;1559516016;1000000;Duplo Hash;2363;0
Semente 3;07/10/2018;21:05:39;07/10/2018;21:05:39;Windows 10;1651915;15;1559516016;1000000;Encadeamento Separado;2363;1181
Semente 3;07/10/2018;21:05:39;07/10/2018;21:05:39;Windows 10;1947217;0;1559516016;1000000;Encadeamento Coalescido;268256;265373
Semente 4;07/10/2018;21:05:47;07/10/2018;21:05:47;Windows 10;424058;0;1064731144;1000;Sondagem Linear;33845;32762
Semente 4;07/10/2018;21:05:47;07/10/2018;21:05:47;Windows 10;935821;0;1064731144;1000;Sondagem Quadratica;84940;83857
Semente 4;07/10/2018;21:05:47;07/10/2018;21:05:47;Windows 10;359213;0;1064731144;1000;Duplo Hash;1083;0
Semente 4;07/10/2018;21:05:47;07/10/2018;21:05:47;Windows 10;397933;0;1064731144;1000;Encadeamento Separado;1083;541
Semente 4;07/10/2018;21:05:47;07/10/2018;21:05:47;Windows 10;440387;0;1064731144;1000;Encadeamento Coalescido;51891;50562
Semente 4;07/10/2018;21:05:55;07/10/2018;21:05:55;Windows 10;1225058;0;1340088360;5000;Sondagem Linear;84909;82962
Semente 4;07/10/2018;21:05:55;07/10/2018;21:05:55;Windows 10;1360812;0;1340088360;5000;Sondagem Quadratica;87950;86003
Semente 4;07/10/2018;21:05:55;07/10/2018;21:05:55;Windows 10;966144;0;1340088360;5000;Duplo Hash;1947;0
Semente 4;07/10/2018;21:05:55;07/10/2018;21:05:55;Windows 10;1014195;0;1340088360;5000;Encadeamento Separado;1947;973
Semente 4;07/10/2018;21:05:55;07/10/2018;21:05:55;Windows 10;1240453;16;1340088360;5000;Encadeamento Coalescido;131690;129355
Semente 4;07/10/2018;21:06:03;07/10/2018;21:06:03;Windows 10;1725624;0;1191442912;10000;Sondagem Linear;121407;119286
Semente 4;07/10/2018;21:06:03;07/10/2018;21:06:03;Windows 10;782339;0;1191442912;10000;Sondagem Quadratica;10076;7955
Semente 4;07/10/2018;21:06:03;07/10/2018;21:06:03;Windows 10;1204065;0;1191442912;10000;Duplo Hash;2121;0
Semente 4;07/10/2018;21:06:03;07/10/2018;21:06:03;Windows 10;1348684;0;1191442912;10000;Encadeamento Separado;2121;1060
Semente 4;07/10/2018;21:06:03;07/10/2018;21:06:03;Windows 10;1752682;0;1191442912;10000;Encadeamento Coalescido;236913;234311
Semente 4;07/10/2018;21:06:13;07/10/2018;21:06:13;Windows 10;2087637;0;1271257080;50000;Sondagem Linear;141760;139523
Semente 4;07/10/2018;21:06:13;07/10/2018;21:06:13;Windows 10;1705098;0;1271299376;50000;Sondagem Quadratica;103608;101371
Semente 4;07/10/2018;21:06:13;07/10/2018;21:06:13;Windows 10;1311829;0;1271299376;50000;Duplo Hash;2237;0
Semente 4;07/10/2018;21:06:13;07/10/2018;21:06:13;Windows 10;1406531;0;1271299376;50000;Encadeamento Separado;2237;1118
Semente 4;07/10/2018;21:06:13;07/10/2018;21:06:13;Windows 10;1768077;0;1271299376;50000;Encadeamento Coalescido;216152;213441
Semente 4;07/10/2018;21:06:23;07/10/2018;21:06:23;Windows 10;1937886;0;1361862536;100000;Sondagem Linear;145681;143396
Semente 4;07/10/2018;21:06:23;07/10/2018;21:06:23;Windows 10;1016527;15;1361862536;100000;Sondagem Quadratica;12605;10320
Semente 4;07/10/2018;21:06:23;07/10/2018;21:06:23;Windows 10;1408863;0;1361862536;100000;Duplo Hash;2285;0
Semente 4;07/10/2018;21:06:23;07/10/2018;21:06:23;Windows 10;1546950;0;1361862536;100000;Encadeamento Separado;2285;1142
Semente 4;07/10/2018;21:06:23;07/10/2018;21:06:23;Windows 10;1758746;0;1361862536;100000;Encadeamento Coalescido;214062;211313
Semente 4;07/10/2018;21:06:35;07/10/2018;21:06:35;Windows 10;2036321;0;1437280288;500000;Sondagem Linear;149779;147428
Semente 4;07/10/2018;21:06:35;07/10/2018;21:06:35;Windows 10;1065045;0;1437280288;500000;Sondagem Quadratica;11106;8755
Semente 4;07/10/2018;21:06:35;07/10/2018;21:06:35;Windows 10;1474175;0;1437280288;500000;Duplo Hash;2351;0
Semente 4;07/10/2018;21:06:35;07/10/2018;21:06:35;Windows 10;1483972;0;1437280288;500000;Encadeamento Separado;2351;1175
Semente 4;07/10/2018;21:06:35;07/10/2018;21:06:35;Windows 10;1906164;0;1437280288;500000;Encadeamento Coalescido;254605;251742
Semente 4;07/10/2018;21:06:49;07/10/2018;21:06:49;Windows 10;2038186;0;1096578320;1000000;Sondagem Linear;148023;145660
Semente 4;07/10/2018;21:06:49;07/10/2018;21:06:49;Windows 10;1480706;16;1096578320;1000000;Sondagem Quadratica;57684;55321
Semente 4;07/10/2018;21:06:49;07/10/2018;21:06:49;Windows 10;1562812;0;1096578320;1000000;Duplo Hash;2363;0
Semente 4;07/10/2018;21:06:49;07/10/2018;21:06:49;Windows 10;1586604;16;1096578320;1000000;Encadeamento Separado;2363;1181
Semente 4;07/10/2018;21:06:49;07/10/2018;21:06:49;Windows 10;1951416;0;1096578320;1000000;Encadeamento Coalescido;268770;265887
Semente 5;07/10/2018;21:06:56;07/10/2018;21:06:56;Windows 10;486105;0;1140758280;1000;Sondagem Linear;37428;36279
Semente 5;07/10/2018;21:06:56;07/10/2018;21:06:56;Windows 10;2470176;0;1140758280;1000;Sondagem Quadratica;269021;267872
Semente 5;07/10/2018;21:06:56;07/10/2018;21:06:56;Windows 10;383005;0;1140758280;1000;Duplo Hash;1149;0
Semente 5;07/10/2018;21:06:56;07/10/2018;21:06:56;Windows 10;413795;0;1140758280;1000;Encadeamento Separado;1149;574
Semente 5;07/10/2018;21:06:56;07/10/2018;21:06:56;Windows 10;469310;0;1140758280;1000;Encadeamento Coalescido;55914;54496
Semente 5;07/10/2018;21:07:04;07/10/2018;21:07:04;Windows 10;1184938;0;1418852568;5000;Sondagem Linear;80826;78883
Semente 5;07/10/2018;21:07:04;07/10/2018;21:07:04;Windows 10;1420059;0;1423566360;5000;Sondagem Quadratica;87344;85401
Semente 5;07/10/2018;21:07:04;07/10/2018;21:07:04;Windows 10;979673;0;1423566360;5000;Duplo Hash;1943;0
Semente 5;07/10/2018;21:07:04;07/10/2018;21:07:04;Windows 10;998800;0;1423566360;5000;Encadeamento Separado;1943;971
Semente 5;07/10/2018;21:07:04;07/10/2018;21:07:04;Windows 10;1263312;0;1423566360;5000;Encadeamento Coalescido;131665;129345
Semente 5;07/10/2018;21:07:12;07/10/2018;21:07:12;Windows 10;1603865;0;1477778080;10000;Sondagem Linear;124299;122188
Semente 5;07/10/2018;21:07:12;07/10/2018;21:07:12;Windows 10;2071776;0;1477778080;10000;Sondagem Quadratica;148615;146504
Semente 5;07/10/2018;21:07:12;07/10/2018;21:07:12;Windows 10;1159280;0;1477778080;10000;Duplo Hash;2111;0
Semente 5;07/10/2018;21:07:12;07/10/2018;21:07:12;Windows 10;1260046;0;1477778080;10000;Encadeamento Separado;2111;1055
Semente 5;07/10/2018;21:07:12;07/10/2018;21:07:12;Windows 10;1654714;0;1477778080;10000;Encadeamento Coalescido;237812;235213
Semente 5;07/10/2018;21:07:23;07/10/2018;21:07:23;Windows 10;2479973;2;1017468552;50000;Sondagem Linear;140555;138288
Semente 5;07/10/2018;21:07:23;07/10/2018;21:07:23;Windows 10;2813528;2;1017468552;50000;Sondagem Quadratica;162381;160114
Semente 5;07/10/2018;21:07:23;07/10/2018;21:07:23;Windows 10;2019993;0;1017468552;50000;Duplo Hash;2267;0
Semente 5;07/10/2018;21:07:23;07/10/2018;21:07:23;Windows 10;2268643;0;1017468552;50000;Encadeamento Separado;2267;1133
Semente 5;07/10/2018;21:07:23;07/10/2018;21:07:23;Windows 10;1879573;0;1017468552;50000;Encadeamento Coalescido;217957;215212
Semente 5;07/10/2018;21:07:33;07/10/2018;21:07:33;Windows 10;1917360;0;1228252632;100000;Sondagem Linear;143857;141572
Semente 5;07/10/2018;21:07:33;07/10/2018;21:07:33;Windows 10;966144;0;1228252632;100000;Sondagem Quadratica;11933;9648
Semente 5;07/10/2018;21:07:33;07/10/2018;21:07:33;Windows 10;1398134;15;1228252632;100000;Duplo Hash;2285;0
Semente 5;07/10/2018;21:07:33;07/10/2018;21:07:33;Windows 10;1386471;0;1228252632;100000;Encadeamento Separado;2285;1142
Semente 5;07/10/2018;21:07:33;07/10/2018;21:07:33;Windows 10;1775075;16;1228252632;100000;Encadeamento Coalescido;220462;217694
Semente 5;07/10/2018;21:07:46;07/10/2018;21:07:46;Windows 10;2246717;0;1282658216;500000;Sondagem Linear;149822;147475
Semente 5;07/10/2018;21:07:46;07/10/2018;21:07:46;Windows 10;2177207;0;1282658216;500000;Sondagem Quadratica;141021;138674
Semente 5;07/10/2018;21:07:46;07/10/2018;21:07:46;Windows 10;1485372;0;1282658216;500000;Duplo Hash;2347;0
Semente 5;07/10/2018;21:07:46;07/10/2018;21:07:46;Windows 10;1555348;0;1282658216;500000;Encadeamento Separado;2347;1173
Semente 5;07/10/2018;21:07:46;07/10/2018;21:07:46;Windows 10;1999933;16;1287354216;500000;Encadeamento Coalescido;253373;250515
Semente 5;07/10/2018;21:07:59;07/10/2018;21:07:59;Windows 10;2213595;2;1211748536;1000000;Sondagem Linear;149542;147185
Semente 5;07/10/2018;21:07:59;07/10/2018;21:08:00;Windows 10;3482505;4;1211748536;1000000;Sondagem Quadratica;117475;115118
Semente 5;07/10/2018;21:08:00;07/10/2018;21:08:00;Windows 10;1685505;2;1211748536;1000000;Duplo Hash;2357;0
Semente 5;07/10/2018;21:08:00;07/10/2018;21:08:00;Windows 10;1656115;0;1211748536;1000000;Encadeamento Separado;2357;1178
Semente 5;07/10/2018;21:08:00;07/10/2018;21:08:00;Windows 10;2119360;0;1211748536;1000000;Encadeamento Coalescido;255495;252623
Semente 6;07/10/2018;21:08:07;07/10/2018;21:08:07;Windows 10;510363;0;1386259776;1000;Sondagem Linear;36988;35849
Semente 6;07/10/2018;21:08:07;07/10/2018;21:08:07;Windows 10;1189603;0;1386259776;1000;Sondagem Quadratica;108139;107000
Semente 6;07/10/2018;21:08:07;07/10/2018;21:08:07;Windows 10;415195;0;1386259776;1000;Duplo Hash;1139;0
Semente 6;07/10/2018;21:08:07;07/10/2018;21:08:07;Windows 10;471177;0;1386259776;1000;Encadeamento Separado;1139;569
Semente 6;07/10/2018;21:08:07;07/10/2018;21:08:07;Windows 10;526691;15;1386259776;1000;Encadeamento Coalescido;60503;59085
Semente 6;07/10/2018;21:08:15;07/10/2018;21:08:15;Windows 10;1390203;0;1433343424;5000;Sondagem Linear;88801;86844
Semente 6;07/10/2018;21:08:15;07/10/2018;21:08:15;Windows 10;1119626;0;1433343424;5000;Sondagem Quadratica;53779;51822
Semente 6;07/10/2018;21:08:15;07/10/2018;21:08:15;Windows 10;1036121;0;1433343424;5000;Duplo Hash;1957;0
Semente 6;07/10/2018;21:08:15;07/10/2018;21:08:15;Windows 10;1043119;0;1433343424;5000;Encadeamento Separado;1957;978
Semente 6;07/10/2018;21:08:15;07/10/2018;21:08:15;Windows 10;1205464;0;1433343424;5000;Encadeamento Coalescido;139296;136951
Semente 6;07/10/2018;21:08:24;07/10/2018;21:08:24;Windows 10;1774608;0;1442017896;10000;Sondagem Linear;124181;122064
Semente 6;07/10/2018;21:08:24;07/10/2018;21:08:24;Windows 10;819193;0;1442017896;10000;Sondagem Quadratica;9392;7275
Semente 6;07/10/2018;21:08:24;07/10/2018;21:08:24;Windows 10;1203132;0;1442017896;10000;Duplo Hash;2117;0
Semente 6;07/10/2018;21:08:24;07/10/2018;21:08:24;Windows 10;1333289;0;1442017896;10000;Encadeamento Separado;2117;1058
Semente 6;07/10/2018;21:08:24;07/10/2018;21:08:24;Windows 10;1629990;15;1442017896;10000;Encadeamento Coalescido;232154;229561
Semente 6;07/10/2018;21:08:34;07/10/2018;21:08:34;Windows 10;1967277;15;1438783888;50000;Sondagem Linear;140843;138596
Semente 6;07/10/2018;21:08:34;07/10/2018;21:08:34;Windows 10;992269;0;1438783888;50000;Sondagem Quadratica;9301;7054
